Region,2016,2017,2018,2019,2020,2021,2022,2023,2025,Variation,Latitude,Longitude
Agra,99.72,96.58,99.77,99.08,100.0,96.03,97.46,99.1,99.5,0.4,27.1767,78.0081
Ahmedabad,99.59,94.26,99.17,99.19,100.0,93.81,98.09,99.23,98.52,-0.71,23.0225,72.5714
Bangalore,99.98,99.2,99.92,99.59,100.0,99.0,99.55,99.85,99.83,-0.02,12.9716,77.5946
Bhopal,100.0,95.13,99.27,99.13,100.0,93.16,96.62,98.51,99.81,1.3,23.2599,77.4126
Bhubaneshwar,99.82,96.97,99.64,99.74,100.0,99.43,99.05,98.83,99.19,0.36,20.2961,85.8245
Chandigarh,99.92,95.9,99.74,99.34,100.0,97.72,98.65,99.45,99.73,0.28,30.7333,76.7794
Chennai,99.89,98.36,99.78,99.67,100.0,97.66,99.33,99.6,99.87,0.27,13.0827,80.2707
Dehradun,99.73,96.87,99.53,99.8,100.0,97.91,99.12,99.94,99.88,-0.06,30.3165,78.0322
Delhi,99.83,97.02,99.79,99.38,99.99,97.07,98.73,99.66,99.72,0.06,28.7041,77.1025
Ernakulam,100.0,99.84,99.98,99.82,100.0,99.74,99.98,99.98,100.0,0.02,9.9312,76.2673
Gurgaon,99.69,96.57,99.85,99.57,100.0,95.75,98.72,99.37,99.75,0.38,28.4595,77.0266
Guwahati,99.93,92.56,99.03,99.14,100.0,97.5,98.58,98.05,99.33,1.28,26.1445,91.7362
Hyderabad,100.0,96.32,99.93,99.98,100.0,99.88,99.48,99.77,100.0,0.23,17.385,78.4867
Jabalpur,99.78,95.24,99.26,98.69,100.0,91.48,95.24,98.08,99.51,1.43,23.1815,79.9864
Jaipur,99.98,96.84,99.67,99.41,100.0,98.62,99.1,99.66,99.4,-0.26,26.9124,75.7873
Jammu,99.95,96.91,99.61,98.76,100.0,99.08,99.23,99.43,99.91,0.48,32.7266,74.857
Kolkata,98.94,93.77,99.41,99.55,100.0,96.84,99.12,99.45,99.84,-0.61,22.5726,88.3639
Lucknow,99.9,93.77,99.26,98.27,100.0,93.43,98.14,99.65,99.62,-0.03,26.8467,80.9462
Mumbai,99.65,96.24,98.94,98.47,100.0,92.86,94.48,97.02,99.68,1.66,19.076,72.8777
Patna,98.69,98.94,98.98,98.87,100.0,97.95,93.69,96.91,99.28,2.37,25.5941,85.1376
Raipur,99.45,98.98,99.61,98.45,100.0,96.4,97.17,99.55,99.45,-0.1,21.2514,81.6296
Ranchi,99.96,92.69,98.85,98.8,100.0,95.6,95.77,99.02,99.36,0.34,23.3441,85.3096
Silchar,99.59,95.15,99.39,99.78,100.0,98.07,99.54,99.93,99.09,-0.84,24.8333,92.7789
Tinsukia,99.26,85.31,96.6,98.77,99.99,96.22,96.95,97.07,99.5,-0.57,27.4924,95.355
Varanasi,99.82,95.09,99.17,98.98,100.0,95.03,98.82,99.65,99.57,-0.08,25.3176,82.9739
