state,ger,students,universities,faculty,year,students_per_uni,faculty_per_student
Andhra Pradesh,29.377118619901935,1897149,41,143,2019,46271.92682926829,7.537626195939275e-05
Arunachal Pradesh,35.21186954911076,55816,10,7,2019,5581.6,0.00012541206822416513
Assam,22.54577711774961,650601,26,35,2019,25023.115384615383,5.3796412855190815e-05
Bihar,21.444663103114124,1738432,35,268,2019,49669.485714285714,0.00015416191142362772
Chhattisgarh,11.763713625187238,586395,28,210,2019,20942.678571428572,0.00035812037960760237
Goa,26.366354351611427,52782,3,99,2019,17594.0,0.0018756394225304081
Gujarat,16.664763174113723,1544840,76,2479,2019,20326.842105263157,0.0016046969265425546
Himachal Pradesh,39.48435946748011,289488,27,51,2019,10721.777777777777,0.00017617310562095839
Jammu and Kashmir,21.089463604758155,395416,15,67,2019,26361.066666666666,0.00016944180306310315
Jharkhand,15.639539454462458,817560,32,146,2019,25548.75,0.00017858016537012573
Karnataka,20.94201521200827,2187892,69,2051,2019,31708.579710144928,0.0009374320121834167
Kerala,24.023176974524294,1137853,23,109,2019,49471.86956521739,9.579444796471952e-05
Ladakh,8.548580994034062,2897,1,0,2019,2897.0,0.0
Madhya Pradesh,12.416366909306054,2182154,66,504,2019,33062.93939393939,0.00023096445072162642
Maharashtra,15.449006658059213,4265472,65,3285,2019,65622.64615384616,0.0007701375135037811
Manipur,23.51444800310535,124538,8,60,2019,15567.25,0.00048178066132425443
Meghalaya,23.554377754048144,87541,10,13,2019,8754.1,0.0001485018448498418
Mizoram,26.02465530115283,33236,3,16,2019,11078.666666666666,0.0004814057046576002
Nagaland,19.272513142088535,44561,5,6,2019,8912.2,0.00013464688853481743
Odisha,13.465459253812066,994929,32,259,2019,31091.53125,0.0002603200831416111
Rajasthan,22.283066481923182,2206517,89,280,2019,24792.325842696628,0.00012689682427101173
Sikkim,35.12457780515234,58071,8,8,2019,7258.875,0.0001377623943104131
Tamil Nadu,40.69572405075124,3520311,59,345,2019,59666.28813559322,9.800270487465454e-05
Telangana,30.16526336276685,1389608,24,118,2019,57900.333333333336,8.491603387430124e-05
Tripura,12.99321250799867,86247,4,92,2019,21561.75,0.0010667037694064721
Uttar Pradesh,38.987530960843046,6388214,81,655,2019,78866.83950617284,0.00010253257013619143
Uttarakhand,45.791065961262326,493279,36,135,2019,13702.194444444445,0.00027367879029920186
West Bengal,11.00091736990523,2160893,47,1910,2019,45976.44680851064,0.0008838938346322562
Andhra Pradesh,33.6,1929159,47,106538,2021,41045.936170212764,0.05522510067858585
Arunachal Pradesh,39.9,64890,10,2293,2021,6489.0,0.03533672368623825
Assam,25.8,678012,30,23336,2021,22600.4,0.03441826988312891
Bihar,34.6,2622946,37,38152,2021,70890.43243243243,0.014545476727313487
Goa,27.6,65415,3,3903,2021,21805.0,0.05966521440036689
Gujarat,20.4,1797662,91,61803,2021,19754.527472527472,0.034379655352340985
Himachal Pradesh,44.5,319651,30,10895,2021,10655.033333333333,0.03408404791475703
Jammu and Kashmir,18.9,400423,16,11363,2021,25026.4375,0.028377490803475326
Jharkhand,13.9,879965,33,15089,2021,26665.60606060606,0.01714727290289955
Karnataka,25.8,2436540,75,150885,2021,32487.2,0.06192592775000615
Kerala,28.9,1304445,25,62855,2021,52177.8,0.048185243532690145
Ladakh,13.6,4440,2,274,2021,2220.0,0.06171171171171171
Madhya Pradesh,17.5,2800165,77,82461,2021,36365.77922077922,0.029448621777645245
Maharashtra,17.3,4577843,74,167692,2021,61862.74324324324,0.036631225666760525
Manipur,23.0,130388,10,6270,2021,13038.8,0.048087247292695645
Meghalaya,23.3,96453,11,3805,2021,8768.454545454546,0.03944926544534644
Mizoram,32.5,46771,3,2210,2021,15590.333333333334,0.04725150199910201
Nagaland,19.3,51223,6,2539,2021,8537.166666666666,0.049567577064990334
Odisha,15.5,1073879,37,43730,2021,29023.756756756757,0.0407215338040878
Rajasthan,28.2,2689340,90,83192,2021,29881.555555555555,0.030933983802717394
Sikkim,35.8,33761,9,1509,2021,3751.222222222222,0.04469654334883445
Tamil Nadu,43.9,3309327,62,208736,2021,53376.24193548387,0.06307506027660609
Telangana,38.0,1596680,31,84086,2021,51505.8064516129,0.052663025778490365
Tripura,15.9,100551,5,2505,2021,20110.2,0.02491273085299997
Uttar Pradesh,39.4,6973424,91,178193,2021,76631.03296703297,0.025553157243844632
West Bengal,15.3,2722151,58,73817,2021,46933.637931034486,0.02711715845300279
